1	He absorbed the costs for the accident.	2
1	The sales tax is absorbed into the state income tax.	5
1	The immigrants were quickly absorbed into society.	5
1	Her interest in butterflies absorbs her completely.	5
0	This boss abuses his workers.	3
1	Don't abuse the system.	2
1	The actress abused the policeman who gave her a parking ticket.	3
1	Her husband often abuses alcohol.	4
0	Can you accommodate me with a rental car?	3
0	This hotel can accommodate 250 guests	4
0	The scientists had to accommodate the new results with the existing theories	5
0	The program committee acknowledged the submission of the authors of the paper	4
0	He never acknowledges his colleagues when they run into him in the hallway	3
0	We must acknowledge the kindness she showed towards us	3
0	acknowledge the deed	1
0	The Crown Prince was acknowledged as the true heir to the throne	5
0	Permit me to acquaint you with my son.	4
0	You should acquaint yourself with your new computer.	3
0	Please acquaint your colleagues of your plans to move.	2
0	think before you act	4
0	She acts in this play	2
0	You should act like an adult	3
1	She acts as the chair	2
1	This scene acts well	3
0	He addressed the crowd outside the window.	2
0	He always addresses me with `Sir'.	3
1	You must adhere to the rules.	3
0	They adhered to their plan.	2
1	The residents of this village adhered to Catholicism.	6
0	Will this wallpaper adhere to the wall?	4
0	administer a program	1
0	administer the last unction	1
0	administer critical remarks to everyone present	1
0	He admitted his errors	2
0	We cannot admit non-members into our club building	3
0	admit someone to the profession	1
1	This problem admits of no solution	3
0	The French doors admit onto the yard	4
0	This ticket will admit one adult to the show	4
0	Will the new rules affect me?	5
0	the medicine affects my heart rate	3
0	This new ruling affects your business	4
0	The death of his wife caused him to age fast	9
0	we age every day--what a depressing thought!	2
0	The death of his child aged him tremendously	6
0	We agreed on the terms of the settlement	2
0	She agreed to all my conditions	2
0	The two stories don't agree in many details	5
0	Subjects and verbs must always agree in English	6
1	White wine doesn't agree with me	4
0	No two of my colleagues would agree on whom to elect chairman	7
0	Please don't aim at your little brother!	3
1	I aim to arrive at noon	2
0	He aimed his fists towards his opponent's face	2
1	She wanted to aim a pun	4
1	This show will air Saturdays at 2 P.M.	4
0	We cannot air this X-rated song	3
1	She aired her opinions on welfare	2
0	air the old winter clothes	1
0	We don't allow dogs here	3
0	Mandela was allowed few visitors in prison	3
0	I allow for this possibility	2
0	The camera store owner allowed me $50 on my old camera	5
0	Her action amounted to a rebellion	3
0	The bills amounted to $2,000	3
1	This idea will never amount to anything	5
0	I was analyzed in Vienna by a famous psychiatrist.	3
0	She didn't want to answer	5
1	The steering of my new car answers to the slightest touch	7
0	answer the telephone	1
0	The question concerning the meaning of life cannot be answered	10
0	The defendant answered to all the charges of the prosecution	3
0	She must answer for her actions	3
0	A few words would answer	5
0	The drawing of the suspect answers to the description the victim gave	6
0	This may answer her needs	3
0	He was found guilty but appealed immediately.	6
1	Appeal to somebody for help!	1
0	She appealed the verdict.	2
0	He suddenly appeared at the wedding	3
0	Did your latest book appear yet?	5
0	Gielgud appears briefly in this movie	2
0	He had to appear in court last month	4
0	Do you appreciate the full meaning of this letter?	3
0	The yen appreciated again!	3
0	The Germans want to appreciate the Deutsche Mark	5
0	We were approaching our destination	3
0	Winter is approaching	3
0	I was approached by the President to serve as his adviser in foreign matters	3
0	We ascended the mountain.	2
1	Inheritance may not ascend linearly.	4
0	She ascended to the throne after the King's death.	2
0	The boat ascended the Delaware.	3
0	The path ascended to the top of the hill.	3
0	I asked about their special today	2
0	She asked him for a loan	2
0	He is asking $200 for the table	3
0	We were assigned new uniforms.	3
0	The teacher assigned him to lead his classmates in the exercise.	3
0	The biologist assigned the mushroom to the proper class.	3
0	Immigrants often want to assimilate quickly	5
0	This country assimilates immigrants very quickly	3
0	The nasal assimilates to the following consonant	3
0	I assume his train was late	2
0	When will the new President assume office?	6
0	He assumes the lotus position	2
0	He assumed to himself the right to fill all positions in the town	2
0	She assumed indifference, even though she was seething with anger	2
0	This is the day when May was assumed into heaven	8
0	Hitler attacked Poland on September 1, 1939 and started World War II	2
1	The editors of the left-leaning paper attacked the new House Speaker	7
0	The Serbs attacked the village at night	3
1	I attacked the problem as soon as I got out of bed	2
0	The cancer cells are attacking his liver	5
0	She attends class regularly	2
0	Menuhin's playing was attended by a 15-minute standing ovation	4
0	She attends the old lady in the wheelchair	2
0	The children in the audience attended the recital quietly	6
1	His high fever attested to his illness	4
0	I attest this signature	2
0	This word is not attested until 1993	5
0	Let's avoid a confrontation.	2
0	Muslims avoid tobacco during the day.	2
0	back into the driveway	1
0	back the car into the parking spot	1
0	back this enterprise	1
0	My garage backs their yard	3
1	Which horse are you backing?	5
0	Can you back up your claims?	3
0	The DMZ begins right over the hill	3
0	The number `one' begins the sequence	4
0	The novel begins with a murder	3
0	This economic measure doesn't even begin to deal with the problem of inflation	6
0	I believed his report	2
0	I believe that he will come back from the war	2
0	When you hear his sermons, you will be able to believe, too	11
0	You cannot believe this man	3
0	This book belongs to me	3
0	This student somehow doesn't belong	5
0	Where do these books belong?	5
0	The whales belong among the mammals	3
0	They belong to the same political party	2
0	the uniform looks like it belonged to a museum collection	6
0	The Turks besieged Vienna	3
1	She was besieged by so many problems that she got discouraged	3
0	The press photographers besieged the movie star	4
0	The Chinese would bind the feet of their women.	4
0	They bind their books in leather.	2
0	The hydrogen binds the oxygen.	3
1	She tended to blast when speaking into a microphone	4
0	the air conditioning was blasting cold air at us	5
0	blast a passage through the mountain	1
0	blast a tunnel through the Alps	1
0	the gunman blasted away	3
1	Meteors blazed across the atmosphere.	2
1	He blazed away at the men.	2
0	The summer sun alone can cause a pine to blaze.	10
1	The spaceship blazed out into space.	3
0	She blended the nuts and raisins together.	2
0	This flavor will blend with those in your dish.	4
0	The colors blend well.	3
0	Her feet blistered during the long hike.	3
1	The Senator blistered the administration in his speech on Friday.	3
0	The tight shoes and perspiration blistered her feet.	6
0	The haze blurs the hills	3
0	The fog blurs my vision	3
1	The distinction between the two theories blurred	7
0	her rucksack bobbed gently on her back	3
0	The boys bobbed down the hill screaming with pleasure	3
0	Bernice bobs her hair these days!	2
0	She bolted from her seat	2
0	The listeners bolted when he discussed his strange ideas	3
1	Don't bolt your food!	2
1	The tax cut will boost the economy.	5
0	Boost the voltage in an electrical circuit.	1
0	The singer had to be boosted onto the stage by a special contraption.	6
0	Mosquitoes buzzing in my ear really bothers me	7
0	Don't bother the professor while she is grading term papers	2
0	The mere thought of her bothered him and made his heart beat faster	6
0	The rubber ball bounced	4
0	He bounced to his feet	2
1	The ex-boxer's job is to bounce people who want to enter this private club	6
0	He bowed before the King	2
1	The government bowed to the military pressure	3
0	He bowed before the King	2
0	She bowed before the Queen	2
0	I can breathe better when the air is clean	3
0	Every creature that breathes	4
1	He breathed new life into the old house	2
1	Our new synthetic fabric breathes and is perfect for summer wear	5
1	She breathes the Christian spirit	2
1	This rare Bordeaux must be allowed to breathe for at least 2 hours	8
0	Johnson brushed the hairs from his jacket	2
0	He brushed the wall lightly	2
0	She brushed the suit before hanging it back into the closet	2
0	Her long skirt brushed the floor	4
0	brush away the crumbs	1
0	brush the bread with melted butter	1
0	Suspense was building right from the beginning of the opera	3
0	The government is building new schools in this state	4
0	build a modern nation	1
0	These architects build in interesting and new styles	3
0	build a defense on nothing but the accused person's reputation	1
0	This sum will buy you a ride on the train	4
0	She wanted to buy his love with her dedication to him and his work	4
1	I can't buy this story	3
0	bees were buzzing around the hive	3
0	Planes buzzed the crowds in the square	2
1	This office is buzzing with activity	4
1	he buzzed the servant	2
1	capture the essence of Spring	1
1	She captured all the men's hearts	2
0	This nucleus has captured the slow-moving neutrons	4
0	She challenged his claims	2
0	Fischer challenged Spassky to a match	2
0	The illegal immigrant was challenged by the border guard	5
0	Father had to learn how to change the baby	7
0	She changed completely as she grew older	2
0	her mood changes in accordance with the weather	3
0	Would you change places with me?	3
0	She changed in Chicago on her way to the East coast	2
0	His voice began to change when he was 12 years old	5
0	everybody cheered the birthday boy	2
0	She tried to cheer up the disappointed child when he failed to win the spelling bee	4
0	The crowd cheered the demonstrating strikers	3
0	This letter is being circulated among the faculty.	5
0	Blood circulates in my veins.	2
0	The fan circulates the air in the room.	3
1	She circulates among royalty.	2
0	He claimed that he killed the burglar	2
0	He claimed his suitcases at the airline counter	2
0	They claimed on the maximum allowable amount	2
0	the accident claimed three lives	3
0	he clamored for justice and tolerance	2
1	The delegates clamored their disappointment	3
0	They clamored the mayor into building a new park	2
1	The judge clapped him in jail	3
0	The big bird clapped its wings	4
0	The children were clapping to the music	4
0	the wings of the birds clapped loudly	6
0	clap two boards together	1
1	They clawed their way to the top of the mountain.	2
1	She clawed the doorknob.	2
1	The politician clawed his rival.	3
0	The dentist cleaned my teeth	3
0	clean grain before milling it	1
0	clean up before you see your grandparents	1
0	This stove cleans easily	3
0	The other players cleaned him completely	4
0	The boys cleaned the sandwich platters	3
0	Did you ever climb up the hill behind your house?	4
1	Sales were climbing after prices were lowered	3
1	The path climbed all the way to the top of the hill	3
1	This young man knows how to climb the social ladder	7
1	prices climbed steeply	2
0	The leaves clog our drains in the Fall	3
1	horses were clogged until they were tamed	3
1	The market is being clogged by these operations	5
1	Fear clogged her mind	2
0	The stars are obscured by the clouds.	7
0	The smoke clouded above the houses.	3
1	Their faces were clouded with sadness.	4
1	The stroke clouded memories of her youth.	3
1	The chemical clouded the liquid to which it was added.	3
