MW	0	reveal a secret	VERB	NN	0
MW	0	Lack of sufficient support was fatal to his campaign.	ADJ	NN	5
MW	0	Lack of sufficient support was fatal to his campaign.	ADJ	NN	5
MW	0	a fatal crash	ADJ	NN	1
MW	0	the fatal flaw in this dazzling woman: a total lack of taste	ADJ	NN	1
MW	0	a fatal disease	ADJ	NN	1
MW	0	scissors with blunt ends	ADJ	NN	2
MW	0	She tends to be blunt.	ADJ	NN	4
MW	0	was hit over the head with a blunt instrument	ADJ	NN	7
MW	0	a blood vessel that collapsed	VERB	VBN	4
MW	0	… his case had collapsed in a mass of legal wreckage …	VERB	VBN	4
MW	0	a hefty football player	ADJ	NN	1
MW	0	gripped the door handle	VERB	NNS	0
MW	0	a story that grips the reader	VERB	NNS	3
MW	0	She thought about retiring, but she finally decided to stay on for a few more years.	VERB	NN	9
MW	0	I have to stay on the antibiotics for a full two weeks.	VERB	NN	3
MW	0	After she graduated, she stayed on at the college, working in the alumnae office.	VERB	NN	4
MW	0	bright lights	ADJ	NN	0
MW	0	brightest star of the opera	ADJ	NN	0
MW	0	bright eyes	ADJ	NN	0
MW	0	the planets in their courses	NOUN	NNS	4
MW	0	a vocational school	ADJ	JJ	1
MW	0	deserves another chance	VERB	NNS	0
MW	0	a mirror reflects light	VERB	VBZ	2
MW	0	the clouds were reflected in the water	VERB	VBN	3
MW	0	seesaw between two activities	VERB	NN	0
MW	0	impostors that haunt the official in foreign ports	VERB	NN	2
MW	0	spends a lot of time haunting bookstores	VERB	VBG	5
MW	0	problems we ignore now will come back to haunt us	VERB	NN	8
MW	0	an exploited resource	ADJ	VBN	1
MW	0	He dedicated his life to improving the wages and working conditions of one of the nation's poorest and most exploited groups of workers …	ADJ	VBN	19
MW	0	Pescatarians … are forgetting the fact that fish are the most exploited species on our planet.	ADJ	VBN	11
MW	0	desk-bound	ADJ	NN	0
MW	0	duty-bound	ADJ	NN	0
MW	0	She accompanied me to the store.	VERB	VBN	1
MW	0	He will be accompanying her on the piano.	VERB	VBG	3
MW	0	everything in neat arrangement	NOUN	NN	3
MW	0	a blood vessel that collapsed	VERB	VBN	4
MW	0	… his case had collapsed in a mass of legal wreckage …	VERB	VBN	4
MW	0	a movement now regarded as a footnote to architectural history	NOUN	NN	6
MW	0	here since the foundation of the school	NOUN	NN	3
MW	0	the foundations of geometry	NOUN	NNS	1
MW	0	the dramatic flourishes which are the hallmark of the trial lawyer	NOUN	NN	6
MW	0	a vegetable plot	NOUN	NN	2
MW	0	couldn't reach the apple	VERB	NN	1
MW	0	a wide area	ADJ	JJ	1
MW	0	3 feet wide	ADJ	JJ	2
MW	0	figured muslin	ADJ	VBN	0
MW	0	figured wood	ADJ	VBN	0
MW	0	Employees are looking for some clarity understanding{/gloss} on the company's new policies.	NOUN	NN	5
MW	0	Employees are looking for some clarity understanding{/gloss} on the company's new policies.	NOUN	NN	5
MW	0	Mr. Darlington writes with wit and clarity.	NOUN	NN	6
MW	0	The next time you hire a sitter babysitter{/gloss}, remind your daughter what happened the last time and let her know that you are only a phone call away.	NOUN	NN	6
MW	0	The next time you hire a sitter babysitter{/gloss}, remind your daughter what happened the last time and let her know that you are only a phone call away.	NOUN	NN	6
MW	0	a sitter for enemy submarines	NOUN	NN	1
MW	0	her habit of taking a morning walk	NOUN	NN	1
MW	0	got up early from force of habit	NOUN	NN	6
MW	0	a terse summary	ADJ	NN	1
MW	0	dismissed me with a terse "no"	ADJ	NN	4
MW	0	scenes etched in our minds	VERB	VBN	1
MW	0	the machinery of government	NOUN	NN	1
MW	0	her stunned reaction to the news	NOUN	NN	2
MW	0	attack an enemy fortification	VERB	NN	0
MW	0	a politician verbally attacked by critics	VERB	VBN	3
MW	0	a dictionary belongs in every home	VERB	NNS	2
MW	0	repay a loan	VERB	NN	0
MW	0	a foray into enemy territory	NOUN	NN	1
MW	0	the novelist's foray into nonfiction	NOUN	NN	2
MW	0	attempted sneak and surprise forays	NOUN	NNS	4
MW	0	loosened his tie	VERB	VBN	0
MW	0	money earmarked for education	VERB	VBN	1
MW	0	the height, breadth, and depth of each piece of furniture	NOUN	NN	2
MW	0	begin with a breadth of silk	NOUN	NN	3
MW	0	nailed boards over the windows	NOUN	NNS	1
MW	0	Pin the photo to the board.	NOUN	NN	5
MW	0	made my position on the issue clear	NOUN	NN	2
MW	0	defend the castle from invaders	VERB	NN	0
MW	0	which God defend that I should wring from him	VERB	NN	2
MW	0	measured by the yardstick of her first book	NOUN	NN	3
MW	0	a decrepit old man	ADJ	NN	1
MW	0	a decrepit school bus	ADJ	NN	1
MW	0	the effete monarchies … of feudal Europe	ADJ	NN	1
MW	0	a hearty constitution	NOUN	NN	2
MW	0	doesn't allow people to smoke in his home	VERB	VB	1
MW	0	allow an hour for lunch	VERB	VB	0
MW	0	The criminals avoided/eluded/escaped capture.	NOUN	NN	3
MW	0	… authorities increased the reward for information leading to his capture …	NOUN	NN	10
MW	0	argue for a new policy	VERB	NN	0
MW	0	They're always arguing about money.	VERB	VBG	2
