0	design
1	crossed
1	lines
0	toytown
0	tram
0	city
0	transport
0	soon
1	back
0	right
1	track
0	says
0	jonathan
0	glancey
0	jonathan
0	glancey
0	modern
0	trams
0	continental
0	europeans
0	know
0	shake
0	rattle
0	roll
1	sleek
0	solidly
0	built
1	gentle
0	environment
0	often
0	ideal
1	form
0	city
0	transport
0	also
1	exert
0	fascination
0	much
1	slither
0	round
0	circuses
1	brush
0	old
0	city
0	gates
0	flashing
0	arcs
0	lightning
0	switch
0	tracks
0	winter
0	nights
0	single-car
0	articulated
0	double-decker
0	trams
0	reliable
0	enduring
1	forms
0	public
0	transport
0	invented
0	series
0	trams
0	milan
0	example
0	date
0	eventually
0	replaced
0	years
1	run
1	rhythmic
0	reliability
0	swiss
0	watch
0	much
0	part
0	milan
0	la
0	scala
0	galleria
0	vittore
0	emmanuele
0	last
0	month
0	announced
0	britain
1	get
0	first
1	new-wave
0	trams
1	destined
1	run
0	manchester
1	relieve
0	traffic
1	congestion
1	help
1	reduce
1	levels
0	carbon
0	monoxide
0	city
0	centre
0	outlying
0	suburbs
1	satellite
0	towns
0	bury
0	altrincham
0	salford
0	oldham
0	rochdale
0	britain
0	main
0	exception
0	blackpool
0	forgetting
0	single-deckers
0	isle
0	man
0	llandudno
0	trams
0	largely
0	relegated
0	history
0	books
0	otherwise
0	best
0	place
0	see
1	working
0	trams
0	tram
0	museum
0	crich
0	derbyshire
0	else
0	old
0	british
0	transport
0	commission
0	films
0	ealing
0	comedies
0	trams
0	disappeared
0	british
0	cities
0	london
1	venerable
0	red
0	cream
0	double-deckers
0	rumbled
0	thames
0	embankment
0	last
0	time
0	somehow
1	image
0	tall
0	thin
1	mournful
0	double-deck
0	tram
0	wooden
1	body
0	slatted
0	wooden
0	seats
1	growling
0	electric
0	motor
1	stuck
0	british
1	mind
0	trams
0	believed
0	surprisingly
0	recently
0	old-fashioned
0	something
0	fish
0	chips
0	wrapped
0	newspaper
0	men
0	hats
0	national
0	health
0	specs
0	smog
0	powdered
0	egg
1	held
1	bright
0	new
0	diesel
0	buses
0	even
0	worse
1	blocked
0	progress
0	private
0	motorists
1	bulbous
0	austins
1	lumpen
0	humbers
1	canyon-like
0	city
0	thoroughfares
1	picked
0	power
1	spider
1	web
0	unsightly
0	overhead
0	wires
1	inflexible
1	operation
0	draughty
0	mobile
0	reminders
0	tb
0	epidemics
0	enamelled
0	spit
0	signs
0	screwed
0	bulkheads
0	modern
0	tram
0	hardly
0	different
1	plays
0	key
1	role
1	keeping
0	city
0	streets
0	move
0	even
0	object
0	best
0	modern
0	designers
0	desire
0	milan
0	example
0	commission
0	design
0	new
1	generation
0	jumbo
0	trams
1	went
0	service
1	leading
0	italian
0	architects
0	designers
1	fought
0	jumbo
1	handsome
0	imposing
0	articulated
0	unit
0	designed
0	architect
0	engineer
0	critic
0	klaus
0	giovanni
0	koenig
0	seen
0	streets
0	milan
1	next
1	half-century
0	spotlessly
0	clean
0	popular
0	jumbo
0	long-term
0	advertisement
0	koenig
0	design
0	skills
0	modern
0	tram
0	green
0	machine
1	assuming
0	power
0	station
0	end
0	line
1	burns
0	cleanly
0	tram
0	virtually
0	pollution
1	free
1	standing
0	traffic
0	lights
0	koenig-designed
0	jumbo
0	save
0	chatter
0	inside
0	completely
0	silent
0	overhead
0	wires
1	slight
0	look
1	hard
0	see
0	powers
0	acceleration
0	braking
0	remarkable
0	latter
1	far
1	greater
0	car
0	sadly
0	indication
0	gma
0	consortium
1	design
1	operate
1	maintain
0	first
0	new
1	generation
0	british
0	trams
0	manchester
1	share
0	looks
0	milanese
0	counterparts
0	artists
1	impressions
1	show
0	tram
0	common
1	flat-faced
0	characterless
1	light
0	trains
1	toy-like
0	docklands
0	light
0	railway
0	still
0	time
0	gma
0	gec
0	mowlem
0	amec
0	greater
0	manchester
0	buses
1	consider
0	employing
0	inspired
0	architect
0	industrial
0	designer
0	mancunians
0	visitors
0	manchester
0	conurbation
0	going
0	look
0	mechanical
1	millipedes
0	well
0	twenty-first
0	century
0	buses
0	longer
0	designed
0	enhance
0	streets
1	serve
0	manchester
0	chance
1	make
1	fresh
1	start
0	trams
0	manchester
1	alone
0	british
0	towns
0	croydon
0	southampton
0	also
1	considering
0	modern
0	tramways
0	referred
0	supertram
0	networks
